timestamp,level,component,message
2025-11-07 12:46:28,WARN,Database,Out of memory error
2025-11-07 11:19:28,INFO,LoadBalancer,Authentication service unavailable
2025-11-07 11:59:43,ERROR,AuthService,Database connection lost
2025-11-07 12:46:13,WARN,AuthService,Database connection lost
2025-11-07 12:05:13,ERROR,LoadBalancer,Out of memory error
2025-11-07 11:25:43,WARN,LoadBalancer,Connection timeout
2025-11-07 11:13:43,WARN,Cache,Database connection lost
2025-11-07 11:37:28,ERROR,LoadBalancer,Cache miss rate increased
2025-11-07 12:20:28,INFO,Cache,Out of memory error
2025-11-07 12:40:28,CRITICAL,Database,"Connection pool exhausted, unable to allocate connection"
2025-11-07 11:31:28,INFO,Database,CPU usage exceeded threshold
2025-11-07 11:28:13,INFO,AuthService,Authentication service unavailable
2025-11-07 12:03:43,INFO,Database,Database connection lost
2025-11-07 12:36:28,ERROR,Cache,Read/write lock contention detected
2025-11-07 11:38:13,INFO,LoadBalancer,Network latency above threshold
2025-11-07 11:49:58,INFO,Cache,Database connection lost
2025-11-07 12:16:13,INFO,Cache,CPU usage exceeded threshold
2025-11-07 11:15:43,INFO,AuthService,Out of memory error
2025-11-07 12:02:13,INFO,Cache,Out of memory error
2025-11-07 11:48:58,WARN,AuthService,Out of memory error
2025-11-07 11:39:28,WARN,API,Disk I/O spike detected
2025-11-07 12:29:28,WARN,Database,Cache miss rate increased
2025-11-07 11:12:43,ERROR,LoadBalancer,Disk I/O spike detected
2025-11-07 12:09:28,INFO,Database,Read/write lock contention detected
2025-11-07 12:44:13,INFO,LoadBalancer,Database connection lost
2025-11-07 12:40:28,ERROR,API,Read/write lock contention detected
2025-11-07 11:40:28,ERROR,Cache,Disk I/O spike detected
2025-11-07 12:02:28,ERROR,Database,Out of memory error
2025-11-07 11:54:28,WARN,AuthService,CPU usage exceeded threshold
2025-11-07 11:23:43,ERROR,LoadBalancer,Network latency above threshold
2025-11-07 11:10:13,INFO,LoadBalancer,Connection timeout
2025-11-07 11:25:28,WARN,API,Connection timeout
2025-11-07 11:21:58,WARN,API,Out of memory error
2025-11-07 12:39:28,CRITICAL,Database,"Connection pool exhausted, unable to allocate connection"
2025-11-07 11:13:58,INFO,Cache,CPU usage exceeded threshold
2025-11-07 12:39:28,WARN,Database,Cache miss rate increased
2025-11-07 12:31:28,ERROR,Database,Cache miss rate increased
2025-11-07 11:12:28,WARN,AuthService,Memory usage high
2025-11-07 11:57:43,INFO,LoadBalancer,Read/write lock contention detected
2025-11-07 12:29:58,CRITICAL,API,Authentication service unavailable
2025-11-07 11:56:58,INFO,Cache,Out of memory error
2025-11-07 11:08:58,CRITICAL,AuthService,Authentication service unavailable
2025-11-07 12:47:28,WARN,Cache,Database connection lost
2025-11-07 12:10:58,INFO,Cache,Connection timeout
2025-11-07 11:43:58,WARN,AuthService,Authentication service unavailable
2025-11-07 11:49:28,INFO,LoadBalancer,Authentication service unavailable
2025-11-07 11:36:13,INFO,Database,Read/write lock contention detected
2025-11-07 12:26:58,INFO,API,Read/write lock contention detected
2025-11-07 11:56:43,INFO,Cache,Out of memory error
2025-11-07 11:27:13,ERROR,Database,Disk I/O spike detected
2025-11-07 12:23:28,INFO,Database,Authentication service unavailable
2025-11-07 12:36:13,INFO,Database,Disk I/O spike detected
2025-11-07 12:36:43,WARN,API,Network latency above threshold
2025-11-07 12:13:58,WARN,LoadBalancer,Out of memory error
2025-11-07 11:16:28,ERROR,Cache,Cache miss rate increased
2025-11-07 12:40:43,INFO,LoadBalancer,Connection timeout
2025-11-07 12:16:58,INFO,LoadBalancer,Connection timeout
2025-11-07 12:22:43,WARN,Database,Connection timeout
2025-11-07 11:40:13,WARN,LoadBalancer,Disk I/O spike detected
2025-11-07 12:25:58,INFO,Database,Database connection lost
2025-11-07 11:47:28,WARN,Database,Cache miss rate increased
2025-11-07 12:06:43,CRITICAL,AuthService,Out of memory error
2025-11-07 12:22:28,WARN,LoadBalancer,Database connection lost
2025-11-07 11:59:13,WARN,LoadBalancer,Out of memory error
2025-11-07 11:49:13,INFO,Database,Memory usage high
2025-11-07 12:43:58,ERROR,Database,Database connection lost
2025-11-07 11:43:43,INFO,Cache,Authentication service unavailable
2025-11-07 12:34:58,INFO,Database,Connection timeout
2025-11-07 12:25:43,INFO,Cache,Disk I/O spike detected
2025-11-07 11:18:58,WARN,API,Cache miss rate increased
2025-11-07 12:30:58,INFO,LoadBalancer,Network latency above threshold
2025-11-07 11:22:13,INFO,Cache,Disk I/O spike detected
2025-11-07 12:26:13,WARN,LoadBalancer,Read/write lock contention detected
2025-11-07 12:31:58,WARN,API,Database connection lost
2025-11-07 12:18:58,WARN,LoadBalancer,Read/write lock contention detected
2025-11-07 11:09:13,ERROR,Cache,Cache miss rate increased
2025-11-07 12:42:28,CRITICAL,Database,"Connection pool exhausted, unable to allocate connection"
2025-11-07 12:17:43,INFO,LoadBalancer,Memory usage high
2025-11-07 11:47:58,ERROR,AuthService,Connection timeout
2025-11-07 12:11:13,INFO,LoadBalancer,Database connection lost
